,Unnamed: 0,log10Difference,log10AUCDifference,fractionTIP,patientID,VLcompartment
107,107,5.641759293379133,5.60409914593086,0.4,8,LRT
108,108,0.8000141140569061,0.7157570112678231,0.5,0,URT
109,109,0.9179966480750998,0.7588938171316748,0.5,0,LRT
110,110,0.996641001534604,0.7886410530220243,0.5,1,URT
111,111,1.5604364370831787,1.3253325475705786,0.5,1,LRT
112,112,0.7108860434168953,0.778869240379148,0.5,2,URT
113,113,0.8058692228199291,0.7558072608851765,0.5,2,LRT
114,114,1.7043207971823875,1.7444711050402315,0.5,3,URT
115,115,1.371903748229392,1.3697282135236872,0.5,3,LRT
116,116,1.011271190585754,0.813532595310634,0.5,4,URT
117,117,1.5187849653512435,1.7197318510216313,0.5,4,LRT
118,118,0.8631162462641537,0.7341626085299255,0.5,5,URT
119,119,3.363442048859106,3.0816630027737273,0.5,5,LRT
120,120,0.6694247926518679,0.7365933601980421,0.5,6,URT
121,121,0.9564964523931428,0.8050544020187402,0.5,6,LRT
122,122,3.120592747015724,3.089663210203636,0.5,7,URT
123,123,0.8391683424910257,0.6785682370308148,0.5,7,LRT
124,124,1.3508018133585398,3.070785383883085,0.5,8,URT
125,125,5.641759293379133,7.373752469727495,0.5,8,LRT
126,126,0.9518284322845494,0.8975657994636509,0.6,0,URT
127,127,1.5266692826224568,1.2008992061887491,0.6,0,LRT
128,128,1.8833188508712109,1.549136382745039,0.6,1,URT
129,129,4.351594021841997,4.012248616515661,0.6,1,LRT
130,130,0.8752527936025452,0.9321670400022616,0.6,2,URT
131,131,1.1260357810566823,0.985240237107587,0.6,2,LRT
132,132,3.743290266343753,3.857790980865748,0.6,3,URT
133,133,3.5572734599975138,3.5338046628719266,0.6,3,LRT
134,134,1.3727917696672778,1.0465478344077246,0.6,4,URT
135,135,3.8461972710418806,3.8735817400263657,0.6,4,LRT
136,136,1.0155092946550983,0.928627827025351,0.6,5,URT
137,137,5.705776086694608,5.131661048217707,0.6,5,LRT
138,138,0.8519803995029243,0.9187561626858384,0.6,6,URT
139,139,1.2050338608294613,1.0422368585335064,0.6,6,LRT
140,140,3.2437521489496604,4.812841038930679,0.6,7,URT
